*Vertices 362
32005 16275
32005 18110
32005 21217
32005 25433
32005 32070
32005 82545
32005 5043544
32005 18426501
32070 307
32070 863
32070 2154
32070 3356
32070 11955
32070 13270
32070 14849
32070 15992
32070 22462
32070 25433
32070 31769
32070 32212
32070 43715
32070 56120
32070 82545
32070 145422
32070 534366
32070 3414021
32070 3418303
32070 4859974
32070 5043324
32070 5043544
32070 9046904
32070 10110474
32070 12344509
32070 19468510
32070 19666611
32070 19908980
32070 20768200
32070 24909346
32212 863
32212 24113
32212 31756
32212 195322
32212 534366
32212 757584
32212 845943
32212 5043324
32212 17349325
32212 19666611
32212 24909346
32212 25226624
32293 32759
32293 33057
32293 5043192
32293 24909346
32759 3356
32759 11955
32759 15992
32759 24113
32759 25433
32759 31756
32759 31769
32759 32070
32759 32293
32759 43715
32759 85533
32759 145422
32759 534366
32759 3414021
32759 5043544
32759 5058628
32759 10110474
32759 19468510
32759 24909346
33057 307
33057 863
33057 3356
33057 6357
33057 24113
33057 32759
33057 230331
33057 645042
33057 925990
33057 3414021
33057 3418303
33057 5043192
38076 5211
38076 14533
38076 14579
38076 23235
38076 3132979
38076 19467044
38188 22462
38188 31756
38188 51153
38188 140387
38188 320247
38188 534366
38188 5043324
38188 17349325
38188 31651710
41963 863
41963 6886
41963 14849
41963 24113
42317 33057
42317 318094
42317 18935732
42317 18998750
42317 29697232
43715 3356
43715 5399
43715 11955
43715 13270
43715 21217
43715 25433
43715 31756
43715 32070
43715 32759
43715 163955
43715 302553
43715 318094
43715 534366
43715 1071840
43715 1926304
43715 2095829
43715 3223944
43715 3414021
43715 5043192
43715 5043324
43715 5043544
43715 9046904
43715 9172097
43715 10141742
43715 17349325
43715 17649625
43715 18935732
43715 18998750
43715 19666611
43715 20768200
43715 21158533
43715 24909346
43715 25226624
43715 29313809
43715 30095259
43715 32614682
44004 307
44004 3356
44004 5399
44004 11955
44004 14849
44004 15992
44004 24113
44004 25433
44004 32070
44004 534366
44004 893026
44004 3414021
44004 3418303
44004 5043544
44635 6886
44635 18110
44635 645042
44953 6882
44953 12102
44953 14533
44953 17633
48569 24898
48569 56472
48569 168212
48569 230331
48569 534366
48569 26230922
49001 2154
49001 14849
49001 31756
49001 31769
49001 32070
49001 33057
49001 645042
49001 5043544
49001 19468510
49001 26230922
51153 14579
51153 16275
51153 23235
52625 5211
52625 31769
52625 53029
52625 343508
52625 17207794
53029 17633
53029 21133
53029 22462
53029 23235
53029 31769
53029 31956
53029 33057
53029 43715
53029 44953
53029 48569
53029 52625
53029 534366
53029 557007
53029 645042
53029 845943
53029 3301347
53029 3414021
53029 5043324
53029 5058628
53029 8729320
53029 9034086
53029 9946136
53029 18935732
53029 18998750
53029 19666611
53029 29697232
53029 31214851
56120 2154
56120 5211
56120 5399
56120 21217
56120 10110474
56285 31769
56472 24093
56472 24898
56472 32070
56472 32293
56472 33057
56472 48569
56472 52625
56472 83392
56472 103191
56472 145422
56472 168212
56472 230331
56472 232595
56472 318094
56472 343508
56472 534366
56472 845943
56472 1263244
56472 2803134
56472 5043192
56472 8729320
56472 18426501
56472 18935732
56472 20082093
56472 22745786
57706 307
57706 863
57706 14849
57706 145422
57706 534366
57706 3414021
57706 4142989
72809 72809
76762 5211
76762 11955
76762 14533
76762 25391
76762 25433
76762 31769
82545 82545
83392 21133
83392 25391
83392 3223944
83392 17349325
83392 19666611
85533 5399
85533 7930
85533 13270
85533 14849
85533 24113
85533 31756
85533 32070
85533 32759
85533 43715
85533 238487
85533 364022
85533 534366
85533 3414021
85533 5043544
85533 9046904
85533 19468510
85533 23529809
