Authority values
33306: 0.00357909
33422: 0.00154237
33434: 0.00753447
33509: 0.00104085
33583: 0.0233383
33589: 0.00199021
33613: 0.0104342
33617: 0.0030142
33622: 0.0159866
33645: 0.015722
33767: 0.00391807
33792: 0.00456502
33800: 0.0254434
33809: 0.00153582
33864: 0.00101823
33873: 0.0268277
33879: 0.0473758
33898: 0.0128986
33925: 0.0059485
33931: 0.000886591
33941: 0.0243174
33982: 0.00806877
34052: 0.00730364
34059: 0.0164412
34062: 0.00885931
34064: 0.0187607
34082: 0.00826824
34130: 0.000874374
34138: 0.0278658
34139: 0.00187741
34147: 0.0104087
34154: 0.00117898
34164: 0.00762327
34190: 0.00166844
34198: 0.0270823
34211: 0.00406987
34225: 0.000343091
34273: 0.0104055
34291: 0.000740701
34420: 0.00986168
34422: 0.000776801
34494: 0.00150695
34499: 0.00113867
34520: 0.000652952
34647: 0.000763497
34655: 0.00357012
34761: 6.88605e-06
35061: 0.00451488
35307: 0.000287978
35502: 0.0049109
35825: 0.00397434
36104: 0.000734564
36153: 0.00244532
36156: 0.000314278
36163: 0.00113123
36165: 0.00437655
36225: 0.00770633
36511: 0.0149572
36648: 0.000528243
36704: 0.00897324
36715: 0.00595303
36732: 0.00350667
36741: 0.00921192
36787: 0.0180941
37035: 0.000973517
37039: 0.000415864
37062: 0.000462154
37190: 0.0022229
37246: 0.00105122
37351: 0.00935002
37410: 0.00390181
37428: 0.00684725
37431: 0.00167516
37481: 0.00229654
37508: 0.000745652
37516: 0.00693202
37527: 0.00246878
37535: 0.00228312
37545: 0.00626556
37566: 0.00305685
37583: 0.00730811
37591: 0.0032463
37613: 0.000574497
37618: 0.000454518
37627: 0.00362786
37649: 0.00228805
37653: 0.0224564
37656: 0.0027196
37729: 0.00257788
37756: 0.00411496
37770: 0.00708144
38147: 0.0017353
38252: 0.00459114
38272: 0.000469904
38284: 0.00420461
38300: 0.000780192
38474: 0.0282942
38508: 0.00104163
38524: 0.00850632
38553: 0.00515941
38579: 0.00287356
38714: 0.00796726
38776: 0.0257279
38857: 0.00116848
